towerid,Latitudine,Longitudine,active,eNb,seNb,status,type,Nomesito,contributo,Bande
NHLDMDWFAW,43.8743356,11.017103,Attivo,200106,Non presente,Non verificato,0,Prato,SYSTEM,
QMOEMOEQTJ,43.7064543,10.434664,Attivo,200107,Non presente,Non verificato,0,Pisa,SYSTEM,
MPECSWMCIS,43.6926845,10.43285,Attivo,200109,Non presente,Non verificato,0,Pisa,SYSTEM,
XFKQGKYHTE,43.6744443,10.291925,Attivo,200110,Non presente,Non verificato,0,Pisa,SYSTEM,
BBIAASQUSK,43.6720533,10.280293,Attivo,200111,Non presente,Non verificato,0,Marina di Pisa-tirrenia-calambr,SYSTEM,
WFIDBLSBUU,44.449855,8.9998587,Attivo,200112,Non presente,Non verificato,0,Genova,SYSTEM,
SDNJKYYUST,44.420154,8.918557,Attivo,200114,Non presente,Non verificato,0,Genova,SYSTEM,
YOAXQMUXLK,44.430698,8.949852,Attivo,200115,Non presente,Non verificato,0,Genova,SYSTEM,
LXHBXXPSGA,44.4319285,8.9493845,Attivo,200116,Non presente,Non verificato,0,Genova,SYSTEM,
DBIIKBWJNY,44.4153752,8.7078575,Attivo,200117,Non presente,Non verificato,0,Vesima,SYSTEM,
WBRLGQJURJ,43.8666093,11.0930863,Attivo,200118,Non presente,Verificato,0,Prato,Leobwh,
AGFGVJFMYN,43.8575089,11.1317605,Attivo,200119,Non presente,Verificato,0,Prato,Leobwh,~B3~~B20~
RCQEJDMQAR,43.85179,11.142029,Non attivo,200120,Non presente,Non verificato,0,Campi Bisenzio,SYSTEM,
LWVDMKKHUU,43.6983916,10.396133,Attivo,200121,Non presente,Non verificato,0,Pisa,SYSTEM,
VOMGCPWNFJ,43.6973916,10.395672,Attivo,200122,Non presente,Non verificato,0,Pisa,SYSTEM,
RFUEQRKJWU,43.6348626,10.296706,Attivo,200123,Non presente,Non verificato,0,Marina di Pisa-tirrenia-calambr,SYSTEM,
NVCLPCLQPJ,43.6360955,10.297231,Attivo,200124,Non presente,Non verificato,0,Pisa,SYSTEM,
EMPJIJKIFK,43.703698,10.445768,Attivo,200125,Non presente,Non verificato,0,Pisa,SYSTEM,
GSTNCAMQWI,43.6139168,10.292271,Attivo,200126,Non presente,Non verificato,0,Marina di Pisa-tirrenia-calambr,SYSTEM,
RCLEXCMNLD,43.7044276,10.408774,Attivo,200127,Non presente,Non verificato,0,Pisa,SYSTEM,
WSLWHIQXDK,43.6945066,10.419111,Attivo,200128,Non presente,Non verificato,0,Pisa,SYSTEM,
MXFSSTHVLF,43.6608433,10.445977,Attivo,200129,Non presente,Non verificato,0,Cascina,SYSTEM,
KOKANFCLFY,43.679345,10.4395,Attivo,200130,Non presente,Non verificato,0,Pisa,SYSTEM,
ATLWBLXLYX,43.7169526,10.405101,Attivo,200131,Non presente,Non verificato,0,Pisa,SYSTEM,
QVQLCFQCYJ,44.417867,8.9091253,Attivo,200132,Non presente,Non verificato,0,Genova,SYSTEM,
GQMHLJLLSW,44.397685,8.9407133,Attivo,200133,Non presente,Non verificato,0,Genova,SYSTEM,
TVLONOIGKX,44.3980628,8.9401351,Attivo,200134,Non presente,Non verificato,0,Genova,SYSTEM,
SEIBXALVNK,44.424871,8.921306,Attivo,200135,Non presente,Non verificato,0,Genova,SYSTEM,
BFBUCKDIGV,44.4255526,8.9212184,Attivo,200136,Non presente,Non verificato,0,Genova,SYSTEM,
CLRAKRIDVX,44.4137505,8.913264,Attivo,200137,Non presente,Non verificato,0,Genova,SYSTEM,
WDORPSCOYR,44.4343733,8.8939876,Attivo,200138,Non presente,Non verificato,0,Genova,SYSTEM,
CYMIBHDWMO,44.4612877,8.9021252,Attivo,200139,Non presente,Non verificato,0,Genova,SYSTEM,
OSEDBBEIHA,44.4097141,8.9521822,Attivo,200140,Non presente,Non verificato,0,Genova,SYSTEM,
OEBJGVIERU,44.4465783,8.894968,Attivo,200141,Non presente,Non verificato,0,Genova,SYSTEM,
DUPLNHWUQQ,44.4451147,8.8944264,Attivo,200142,Non presente,Non verificato,0,Genova,SYSTEM,
RYQLHONJUC,44.4222665,8.886935,Attivo,200143,Non presente,Non verificato,0,Genova,SYSTEM,
YNNAMDCMPJ,44.425087,8.81638,Attivo,200144,Non presente,Non verificato,0,Genova,SYSTEM,
TNAONBPSWI,44.4178065,8.963778,Attivo,200145,Non presente,Non verificato,0,Genova,SYSTEM,
MASKKBTWHB,44.4389235,8.898442,Attivo,200146,Non presente,Non verificato,0,Genova,SYSTEM,
MIOHNODOUE,44.438812,8.8986662,Attivo,200147,Non presente,Non verificato,0,Genova,SYSTEM,
HRKVSMQYRT,44.4121211,8.9094813,Attivo,200148,Non presente,Non verificato,0,Genova,SYSTEM,
XEBDJCDJML,44.472931,8.900053,Attivo,200149,Non presente,Non verificato,0,Genova,SYSTEM,
WDVBODIRJG,44.4717035,8.8995742,Attivo,200150,Non presente,Non verificato,0,Genova,SYSTEM,
IGLGDPSDJV,44.408057,8.937443,Attivo,200151,Non presente,Non verificato,0,Genova,SYSTEM,
TKAGDIILMB,43.8611173,11.107059,Non attivo,200152,Non presente,Non verificato,0,Prato,SYSTEM,
JEIMYOKTJR,43.8636447,11.1069859,Attivo,200153,Non presente,Verificato,0,Prato,Leobwh,
HGQHRQKXEH,43.8439523,11.085065,Attivo,200154,Non presente,Non verificato,0,Prato,SYSTEM,
XOCUGOWCDS,43.8447793,11.085577,Attivo,200155,Non presente,Non verificato,0,Prato,SYSTEM,
ELOCOBLCHF,43.8648903,11.046693,Attivo,200156,Non presente,Non verificato,0,Prato,SYSTEM,
TIULWQEYXS,43.8640965,11.045948,Attivo,200157,Non presente,Non verificato,0,Prato,SYSTEM,
CTTWWPNYIX,43.8565013,11.1159118,Attivo,200158,Non presente,Verificato,0,Prato,Leobwh,
WLDOEVAXDH,44.4284995,8.892386,Attivo,200159,Non presente,Non verificato,0,Genova,SYSTEM,
CFQATIAAKO,44.384441,9.0293285,Attivo,200160,Non presente,Non verificato,0,Genova,SYSTEM,
OPUAETDDQN,44.4082175,8.9574185,Attivo,200161,Non presente,Non verificato,0,Genova,SYSTEM,
UYNNKVJGNJ,44.4209395,8.9252952,Attivo,200162,Non presente,Non verificato,0,Genova,SYSTEM,
FVJVHDHVNQ,43.8868251,11.090264,Attivo,200163,Non presente,Non verificato,0,Prato,SYSTEM,
JVPHEXNAFH,43.881072,11.09439,Non attivo,200164,Non presente,Non verificato,0,Prato,SYSTEM,
NNRVOWWIHC,43.88223,11.095923,Attivo,200165,Non presente,Verificato,0,Prato,Leobwh,
PGPFJPDQFH,43.7129531,10.934909,Attivo,200166,Non presente,Non verificato,0,Empoli,SYSTEM,
AESDWEDUDH,43.7277821,10.941106,Attivo,200167,Non presente,Non verificato,0,Spicchio-Sovigliana,SYSTEM,
SFCYCABRRT,43.856533,11.09471,Attivo,200168,Non presente,Non verificato,0,Prato,SYSTEM,
LINXPKKERM,43.8122708,11.1722287,Attivo,200169,Non presente,Verificato,0,Osmannoro,Leobwh,~B3~~B20~
CKCICEEPLE,43.8588293,11.07648,Attivo,200170,Non presente,Non verificato,0,Prato,SYSTEM,
OWAFUMGPUO,43.8582961,11.075927,Attivo,200171,Non presente,Non verificato,0,Prato,SYSTEM,
GURMSNOXHD,43.904887,11.068713,Attivo,200172,Non presente,Non verificato,0,Prato,SYSTEM,
XOTWVYYQFK,43.8757412,11.1084327,Attivo,200173,Non presente,Verificato,0,Prato,Leobwh,
XHHQMJKCEV,43.732365,11.310506,Attivo,200175,Non presente,Non verificato,0,Bagno a Ripoli,SYSTEM,
OWSVXNPJWM,43.9014263,11.084798,Attivo,200176,Non presente,Non verificato,0,Prato,SYSTEM,
OWLITVWDMT,43.8991823,11.045613,Attivo,200177,Non presente,Non verificato,0,Prato,SYSTEM,
TAERUTYJMU,43.844511,11.080446,Attivo,200178,Non presente,Non verificato,0,Prato,SYSTEM,
QMWDSRYPNQ,43.838332,11.104978,Attivo,200180,Non presente,Non verificato,0,Prato,SYSTEM,
WMPQJWXQOA,43.9080155,11.037047,Attivo,200181,Non presente,Non verificato,0,Montemurlo,SYSTEM,
TIVUTOLYNQ,43.9016541,11.100492,Attivo,200182,Non presente,Non verificato,0,Prato,SYSTEM,
SIANDWMUCJ,43.8460936,11.122304,Non attivo,200183,Non presente,Non verificato,0,Campi Bisenzio,SYSTEM,
KXCXAVGFJE,43.8477019,11.1248864,Attivo,200184,Non presente,Verificato,0,Campi Bisenzio,Leobwh,
CQWEFIWMXR,43.8075568,11.2246019,Attivo,200185,Non presente,Verificato,0,Firenze,Leobwh,
PGKWXOJRAR,43.7998758,11.1964696,Attivo,200186,Non presente,Verificato,0,Firenze,Leobwh,~B3~
YSGRSIMHRN,43.7721883,11.210993,Attivo,200187,Non presente,Non verificato,0,Firenze,SYSTEM,
YFMFLCYIHQ,43.792556,11.223854,Attivo,200188,Non presente,Non verificato,0,Firenze,SYSTEM,
CCYLLYOPTV,43.8059969,11.1823963,Attivo,200189,Non presente,Verificato,0,Osmannoro,Leobwh,
JDYATYVWEI,43.876551,11.095863,Attivo,200190,Non presente,Verificato,0,Prato,Leobwh,
NINLDSPIFM,43.8744975,11.050216,Attivo,200191,Non presente,Non verificato,0,Prato,SYSTEM,
DQLLBAGYMS,43.865406,10.248057,Attivo,200193,Non presente,Non verificato,0,Viareggio,SYSTEM,
IMRQRWBFLP,43.866744,10.246175,Attivo,200194,Non presente,Verificato,0,Viareggio,Umberto,
MPVLXLPSMF,43.7198233,10.473124,Attivo,200195,Non presente,Non verificato,0,San Giuliano Terme,SYSTEM,
YANVXHTBJF,43.6438513,10.592435,Attivo,200196,Non presente,Non verificato,0,Pontedera,SYSTEM,
GHSGGEDTDS,43.8381545,11.020107,Attivo,200197,Non presente,Non verificato,0,Seano,SYSTEM,
ï»¿QWTORMF,43.2669723,11.377103,Attivo,200199,Non presente,Non verificato,0,Isola d Arbia,SYSTEM,
EYXPIACWOC,43.3383188,11.302264,Attivo,200201,Non presente,Non verificato,0,Siena,SYSTEM,
STSSUDAWHM,43.2913148,11.34212,Attivo,200202,Non presente,Non verificato,0,Siena,SYSTEM,
UOUXSGAYXF,43.3158987,11.354159,Attivo,200203,Non presente,Non verificato,0,Siena,SYSTEM,
YEOBXUHYQU,43.339703,11.312076,Attivo,200204,Non presente,Non verificato,0,Siena,SYSTEM,
CBXCUHSDRB,44.3930658,8.9987707,Attivo,200205,Non presente,Non verificato,0,Genova,SYSTEM,
XBHDELJYRV,44.436342,8.897933,Attivo,200206,Non presente,Non verificato,0,Genova,SYSTEM,
BEGOHPISAX,44.413854,8.999901,Attivo,200207,Non presente,Non verificato,0,Genova,SYSTEM,
XTLUQBGOQE,44.4126248,8.8910591,Attivo,200208,Non presente,Non verificato,0,Genova,SYSTEM,
CPXTREPCQA,44.4510515,8.9753537,Attivo,200209,Non presente,Non verificato,0,Genova,SYSTEM,
ISCUOSRLGV,44.4390935,8.9720582,Attivo,200210,Non presente,Non verificato,0,Genova,SYSTEM,
LDXPBVVQQN,44.4264626,8.846605,Attivo,200211,Non presente,Non verificato,0,Genova,SYSTEM,
LEVUSCNHQI,44.493747,8.899842,Attivo,200212,Non presente,Non verificato,0,Genova,SYSTEM,
WBTRTXFICW,44.4299612,8.7771022,Attivo,200213,Non presente,Non verificato,0,Genova,SYSTEM,
